,0
Feature_0224,0.2183582275207647
Feature_0409,0.1062557725724536
Feature_0408,0.08236436289935926
Feature_0500,0.07604032583200934
Feature_0072,0.06166683969889766
Feature_0034,0.051474891833246765
Feature_0478,0.04534701712269907
Feature_0086,0.04527823156379676
Feature_0008,0.029941111914987665
Feature_0067,0.029900947554033087
Feature_0028,0.027278645044632517
Feature_0411,0.026447949642789747
Feature_0456,0.025331802191201885
Feature_0166,0.022265740230883534
Feature_0005,0.021591971303724183
